player_id,match_id,player_name,rating,possession_lost,attacking_shots_blocked,total_passes,total_long_balls,total_crosses,total_dribbles,ground_duels_lost,aerial_duels_lost,yellow_cards,red_cards,goalkeeper_punches,penalties_won,penalties_conceded,penalties_faced,penalties_saved
555,26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,Matthews,6.9,2,0,17,3,0,0,0,0,0,0,0,,,,
227,26-27-friendly-dundee-fc-vs-everton-2026-07-18,Travers,,0,0,0,0,0,0,0,0,0,0,0,,,,
228,26-27-friendly-dundee-fc-vs-everton-2026-07-18,King,,0,0,0,0,0,0,0,0,0,0,0,,,,
229,26-27-friendly-dundee-fc-vs-everton-2026-07-18,Tarkowski,,0,0,0,0,0,0,0,0,0,0,0,,,,
231,26-27-friendly-dundee-fc-vs-everton-2026-07-18,Keane,,0,0,0,0,0,0,0,0,0,0,0,,,,
232,26-27-friendly-dundee-fc-vs-everton-2026-07-18,O'Brien,,0,0,0,0,0,0,0,0,0,0,0,,,,
235,26-27-friendly-dundee-fc-vs-everton-2026-07-18,Aznou,,0,0,0,0,0,0,0,0,0,0,0,,,,
236,26-27-friendly-dundee-fc-vs-everton-2026-07-18,Dewsbury-Hall,,0,0,0,0,0,0,0,0,0,0,0,,,,
240,26-27-friendly-dundee-fc-vs-everton-2026-07-18,Iroegbunam,,0,0,0,0,0,0,0,0,0,0,0,,,,
241,26-27-friendly-dundee-fc-vs-everton-2026-07-18,McNeil,,0,0,0,0,0,0,0,0,0,0,0,,,,
242,26-27-friendly-dundee-fc-vs-everton-2026-07-18,George,,0,0,0,0,0,0,0,0,0,0,0,,,,
244,26-27-friendly-dundee-fc-vs-everton-2026-07-18,Armstrong,,0,0,0,0,0,0,0,0,0,0,0,,,,
245,26-27-friendly-dundee-fc-vs-everton-2026-07-18,Dibling,,0,0,0,0,0,0,0,0,0,0,0,,,,
246,26-27-friendly-dundee-fc-vs-everton-2026-07-18,Röhl,,0,0,0,0,0,0,0,0,0,0,0,,,,
248,26-27-friendly-dundee-fc-vs-everton-2026-07-18,Beto,,0,0,0,0,0,0,0,0,0,0,0,,,,
249,26-27-friendly-dundee-fc-vs-everton-2026-07-18,Barry,,0,0,0,0,0,0,0,0,0,0,0,,,,
29,26-27-friendly-fc-porto-vs-aston-villa-2026-07-25,M.Bizot,,0,0,0,0,0,0,0,0,0,0,0,,,,
32,26-27-friendly-fc-porto-vs-aston-villa-2026-07-25,Cash,,0,0,0,0,0,0,0,0,0,0,0,,,,
33,26-27-friendly-fc-porto-vs-aston-villa-2026-07-25,Mings,,0,0,0,0,0,0,0,0,0,0,0,,,,
35,26-27-friendly-fc-porto-vs-aston-villa-2026-07-25,Bogarde,,0,0,0,0,0,0,0,0,0,0,0,,,,
36,26-27-friendly-fc-porto-vs-aston-villa-2026-07-25,Maatsen,,0,0,0,0,0,0,0,0,0,0,0,,,,
39,26-27-friendly-fc-porto-vs-aston-villa-2026-07-25,Nedeljkovic,,0,0,0,0,0,0,0,0,0,0,0,,,,
44,26-27-friendly-fc-porto-vs-aston-villa-2026-07-25,Bailey,,0,0,0,0,0,0,0,0,0,0,0,,,,
46,26-27-friendly-fc-porto-vs-aston-villa-2026-07-25,Barkley,,0,0,0,0,0,0,0,0,1,0,0,,,,
50,26-27-friendly-fc-porto-vs-aston-villa-2026-07-25,Burrowes,,0,0,0,0,0,0,0,0,0,0,0,,,,
54,26-27-friendly-fc-porto-vs-aston-villa-2026-07-25,Gomes,,0,0,0,0,0,0,0,0,0,0,0,,,,
